city,state,semana_epidemiologica,date,casos,casos_novos,obitos,obitos_novos
Tatuí,SP,202013,2020-03-26,1,1,0,0
Tatuí,SP,202013,2020-03-27,1,0,0,0
Tatuí,SP,202013,2020-03-28,1,0,0,0
Tatuí,SP,202014,2020-03-29,1,0,0,0
Tatuí,SP,202014,2020-03-30,1,0,0,0
Tatuí,SP,202014,2020-03-31,1,0,0,0
Tatuí,SP,202014,2020-04-01,1,0,0,0
Jaú,SP,202014,2020-04-02,1,1,0,0
Tatuí,SP,202014,2020-04-02,1,0,0,0
Jaú,SP,202014,2020-04-03,1,0,0,0
Tatuí,SP,202014,2020-04-03,1,0,0,0
Botucatu,SP,202014,2020-04-04,7,7,0,0
Jaú,SP,202014,2020-04-04,1,0,0,0
Tatuí,SP,202014,2020-04-04,1,0,0,0
Botucatu,SP,202015,2020-04-05,7,0,0,0
Jaú,SP,202015,2020-04-05,1,0,0,0
Tatuí,SP,202015,2020-04-05,1,0,0,0
Botucatu,SP,202015,2020-04-06,7,0,0,0
Jaú,SP,202015,2020-04-06,1,0,0,0
Tatuí,SP,202015,2020-04-06,1,0,0,0
Botucatu,SP,202015,2020-04-07,8,1,0,0
Jaú,SP,202015,2020-04-07,1,0,0,0
Tatuí,SP,202015,2020-04-07,2,1,0,0
Avaré,SP,202015,2020-04-08,1,1,0,0
Botucatu,SP,202015,2020-04-08,9,1,1,1
Jaú,SP,202015,2020-04-08,1,0,0,0
Tatuí,SP,202015,2020-04-08,2,0,0,0
Avaré,SP,202015,2020-04-09,3,2,0,0
Botucatu,SP,202015,2020-04-09,15,6,1,0
Jaú,SP,202015,2020-04-09,1,0,0,0
Tatuí,SP,202015,2020-04-09,2,0,0,0
Avaré,SP,202015,2020-04-10,3,0,0,0
Botucatu,SP,202015,2020-04-10,15,0,1,0
Jaú,SP,202015,2020-04-10,1,0,0,0
Tatuí,SP,202015,2020-04-10,4,2,0,0
Avaré,SP,202015,2020-04-11,3,0,0,0
Botucatu,SP,202015,2020-04-11,15,0,1,0
Jaú,SP,202015,2020-04-11,1,0,0,0
Tatuí,SP,202015,2020-04-11,4,0,0,0
Avaré,SP,202016,2020-04-12,3,0,0,0
Botucatu,SP,202016,2020-04-12,15,0,1,0
Jaú,SP,202016,2020-04-12,1,0,0,0
Tatuí,SP,202016,2020-04-12,4,0,0,0
Avaré,SP,202016,2020-04-13,3,0,0,0
Botucatu,SP,202016,2020-04-13,16,1,1,0
Jaú,SP,202016,2020-04-13,1,0,0,0
Tatuí,SP,202016,2020-04-13,4,0,0,0
Avaré,SP,202016,2020-04-14,3,0,1,1
Botucatu,SP,202016,2020-04-14,23,7,2,1
Jaú,SP,202016,2020-04-14,1,0,0,0
Tatuí,SP,202016,2020-04-14,5,1,0,0
Avaré,SP,202016,2020-04-15,5,2,1,0
Botucatu,SP,202016,2020-04-15,23,0,2,0
Jaú,SP,202016,2020-04-15,3,2,0,0
Tatuí,SP,202016,2020-04-15,6,1,0,0
Avaré,SP,202016,2020-04-16,6,1,1,0
Botucatu,SP,202016,2020-04-16,24,1,2,0
Jaú,SP,202016,2020-04-16,3,0,0,0
Tatuí,SP,202016,2020-04-16,6,0,0,0
Avaré,SP,202016,2020-04-17,9,3,1,0
Botucatu,SP,202016,2020-04-17,27,3,2,0
Jaú,SP,202016,2020-04-17,3,0,0,0
Tatuí,SP,202016,2020-04-17,6,0,0,0
Avaré,SP,202016,2020-04-18,9,0,1,0
Botucatu,SP,202016,2020-04-18,27,0,2,0
Jaú,SP,202016,2020-04-18,4,1,0,0
Tatuí,SP,202016,2020-04-18,6,0,0,0
Avaré,SP,202017,2020-04-19,8,-1,1,0
Botucatu,SP,202017,2020-04-19,27,0,2,0
Jaú,SP,202017,2020-04-19,4,0,0,0
Tatuí,SP,202017,2020-04-19,6,0,0,0
Avaré,SP,202017,2020-04-20,8,0,1,0
