city,state,date,casos,casos_novos,obitos,obitos_novos
Botucatu,SP,2020-04-04,7,7,0,0
Botucatu,SP,2020-04-05,7,0,0,0
Botucatu,SP,2020-04-06,7,0,0,0
Botucatu,SP,2020-04-07,8,1,0,0
Botucatu,SP,2020-04-08,9,1,1,1
Botucatu,SP,2020-04-09,15,6,1,0
Botucatu,SP,2020-04-10,15,0,1,0
Botucatu,SP,2020-04-11,15,0,1,0
Botucatu,SP,2020-04-12,15,0,1,0
Botucatu,SP,2020-04-13,16,1,1,0
Botucatu,SP,2020-04-14,23,7,2,1
Botucatu,SP,2020-04-15,23,0,2,0
Botucatu,SP,2020-04-16,24,1,2,0
Botucatu,SP,2020-04-17,27,3,2,0
Botucatu,SP,2020-04-18,27,0,2,0
Botucatu,SP,2020-04-19,27,0,2,0
Botucatu,SP,2020-04-20,27,0,2,0
Botucatu,SP,2020-04-21,28,1,2,0
Botucatu,SP,2020-04-22,28,0,2,0
Botucatu,SP,2020-04-23,28,0,2,0
Botucatu,SP,2020-04-24,35,7,2,0
Botucatu,SP,2020-04-25,38,3,2,0
Botucatu,SP,2020-04-26,38,0,2,0
Botucatu,SP,2020-04-27,40,2,2,0
Botucatu,SP,2020-04-28,52,12,2,0
Botucatu,SP,2020-04-29,56,4,4,2
Botucatu,SP,2020-04-30,67,11,4,0
Botucatu,SP,2020-05-01,73,6,4,0
Botucatu,SP,2020-05-02,74,1,4,0
Botucatu,SP,2020-05-03,74,0,4,0
Botucatu,SP,2020-05-04,74,0,4,0
Botucatu,SP,2020-05-05,74,0,4,0
Botucatu,SP,2020-05-06,84,10,4,0
Botucatu,SP,2020-05-07,88,4,5,1
Botucatu,SP,2020-05-08,90,2,5,0
Botucatu,SP,2020-05-09,95,5,5,0
Botucatu,SP,2020-05-10,101,6,5,0
Botucatu,SP,2020-05-11,101,0,5,0
Botucatu,SP,2020-05-12,106,5,5,0
Botucatu,SP,2020-05-13,121,15,5,0
Botucatu,SP,2020-05-14,124,3,5,0
Botucatu,SP,2020-05-15,130,6,5,0
Botucatu,SP,2020-05-16,143,13,6,1
Botucatu,SP,2020-05-17,151,8,6,0
Botucatu,SP,2020-05-18,159,8,6,0
Botucatu,SP,2020-05-19,160,1,7,1
Botucatu,SP,2020-05-20,183,23,7,0
Botucatu,SP,2020-05-21,193,10,7,0
Botucatu,SP,2020-05-22,196,3,7,0
Botucatu,SP,2020-05-23,204,8,7,0
Botucatu,SP,2020-05-24,217,13,7,0
Botucatu,SP,2020-05-25,218,1,7,0
Botucatu,SP,2020-05-26,218,0,7,0
Botucatu,SP,2020-05-27,238,20,7,0
Botucatu,SP,2020-05-28,257,19,7,0
Botucatu,SP,2020-05-29,261,4,7,0
Botucatu,SP,2020-05-30,276,15,7,0
Botucatu,SP,2020-05-31,284,8,7,0
Botucatu,SP,2020-06-01,284,0,7,0
Botucatu,SP,2020-06-02,302,18,7,0
Botucatu,SP,2020-06-03,304,2,7,0
Botucatu,SP,2020-06-04,325,21,7,0
Botucatu,SP,2020-06-05,344,19,8,1
Botucatu,SP,2020-06-06,343,-1,9,1
Botucatu,SP,2020-06-07,378,35,9,0
Botucatu,SP,2020-06-08,380,2,9,0
Botucatu,SP,2020-06-09,383,3,9,0
Botucatu,SP,2020-06-10,393,10,9,0
Botucatu,SP,2020-06-11,411,18,9,0
Botucatu,SP,2020-06-12,425,14,9,0
Botucatu,SP,2020-06-13,426,1,10,1
Botucatu,SP,2020-06-14,427,1,10,0
Botucatu,SP,2020-06-15,428,1,10,0
Botucatu,SP,2020-06-16,444,16,10,0
Botucatu,SP,2020-06-17,444,0,10,0
Botucatu,SP,2020-06-18,444,0,10,0
Botucatu,SP,2020-06-19,484,40,12,2
Botucatu,SP,2020-06-20,492,8,13,1
Botucatu,SP,2020-06-21,515,23,13,0
Botucatu,SP,2020-06-22,516,1,13,0
Botucatu,SP,2020-06-23,524,8,13,0
Botucatu,SP,2020-06-24,538,14,14,1
Botucatu,SP,2020-06-25,552,14,14,0
Botucatu,SP,2020-06-26,583,31,15,1
Botucatu,SP,2020-06-27,588,5,15,0
Botucatu,SP,2020-06-28,603,15,15,0
Botucatu,SP,2020-06-29,625,22,15,0
Botucatu,SP,2020-06-30,631,6,15,0
Botucatu,SP,2020-07-01,655,24,15,0
Botucatu,SP,2020-07-02,679,24,15,0
Botucatu,SP,2020-07-03,709,30,15,0
Botucatu,SP,2020-07-04,712,3,15,0
Botucatu,SP,2020-07-05,731,19,15,0
Botucatu,SP,2020-07-06,758,27,15,0
Botucatu,SP,2020-07-07,771,13,16,1
Botucatu,SP,2020-07-08,772,1,16,0
Botucatu,SP,2020-07-09,791,19,17,1
Botucatu,SP,2020-07-10,818,27,18,1
Botucatu,SP,2020-07-11,840,22,18,0
Botucatu,SP,2020-07-12,841,1,18,0
Botucatu,SP,2020-07-13,841,0,18,0
Botucatu,SP,2020-07-14,885,44,18,0
Botucatu,SP,2020-07-15,891,6,19,1
Botucatu,SP,2020-07-16,900,9,19,0
Botucatu,SP,2020-07-17,918,18,19,0
Botucatu,SP,2020-07-18,922,4,19,0
Botucatu,SP,2020-07-19,923,1,19,0
