nome_munic,porcentagem_vacinada,doses_aplicadas,populacao,datahora,latitude,longitude,casos,obitos,casos_pc,obitos_pc
BOTUCATU,0.817693918,121125,148130,2021-06-30,-22.8837,-48.4437,15154,271,10737.2373968186,192.014737662522
SERRANA,0.75698887,34552,45644,2021-06-30,-21.2043,-47.5952,4249,89,9562.49718683891,200.29706981140598
TURMALINA,0.699882075,1187,1696,2021-06-30,-20.0486,-50.4792,169,4,9362.88088642659,221.606648199446
FLORA RICA,0.6685314689999999,956,1430,2021-06-30,-21.6727,-51.3821,121,4,7614.852108244179,251.730648206419
URU,0.66782307,770,1153,2021-06-30,-21.7866,-49.2848,156,3,12924.6064623032,248.550124275062
BORÁ,0.6575179,551,838,2021-06-30,-22.2696,-50.5409,117,1,14408.866995073899,123.15270935960599
SANTANA DA PONTE PENSA,0.644171779,945,1467,2021-06-30,-20.2523,-50.8014,45,2,2982.10735586481,132.538104705103
ARCO-ÍRIS,0.643542019,1141,1773,2021-06-30,-21.7728,-50.466,143,8,7874.44933920705,440.52863436123397
NOVA CANAÃ PAULISTA,0.6387688979999999,1183,1852,2021-06-30,-20.3836,-50.9483,246,4,12700.0516262261,206.50490449148202
ADOLFO,0.633933596,2253,3554,2021-06-30,-21.2325,-49.6451,527,14,15288.6568030171,406.150275601973
ÁGUAS DE SÃO PEDRO,0.61971031,2182,3521,2021-06-30,-22.5977,-47.8734,322,7,10313.9013452915,224.215246636771
SANTA RITA D'OESTE,0.618415762,1538,2487,2021-06-30,-20.1414,-50.8358,265,7,11023.2945091514,291.181364392679
ASPÁSIA,0.602860286,1096,1818,2021-06-30,-20.16,-50.728,182,5,10311.6147308782,283.28611898017
FLOREAL,0.602758621,1748,2900,2021-06-30,-20.6752,-50.1513,200,6,7002.80112044818,210.084033613445
SÃO JOÃO DO PAU D'ALHO,0.6,1260,2100,2021-06-30,-21.2662,-51.6672,155,0,7808.564231738041,0.0
APARECIDA D'OESTE,0.598364598,2488,4158,2021-06-30,-20.4487,-50.8835,722,13,17473.3785091965,314.617618586641
PEDRANÓPOLIS,0.596533656,1480,2481,2021-06-30,-20.2474,-50.1129,223,5,9207.26672171759,206.440957886045
DOLCINÓPOLIS,0.590435606,1247,2112,2021-06-30,-20.124,-50.5149,197,6,9656.86274509804,294.117647058824
FLORÍNEA,0.588767433,1562,2653,2021-06-30,-22.868,-50.6814,337,9,12467.6285608583,332.963374028857
INDIAPORÃ,0.585692229,2276,3886,2021-06-30,-19.979,-50.2909,317,9,8225.22055007784,233.52361183186298
SANTA SALETE,0.585051546,908,1552,2021-06-30,-20.2429,-50.6887,176,4,12222.222222222199,277.777777777778
